sub,del,ins,hit,wer
2,1,1,26,0.13793103448275862
20,14,4,124,0.24050632911392406
5,7,1,19,0.41935483870967744
0,2,0,0,1.0
1,2,0,1,0.75
0,0,0,3,0.0
0,2,0,11,0.15384615384615385
5,2,2,49,0.16071428571428573
0,0,0,8,0.0
10,5,5,64,0.25316455696202533
0,0,0,2,0.0
1,0,0,15,0.0625
0,0,0,3,0.0
3,0,3,15,0.3333333333333333
2,1,0,21,0.125
0,2,0,10,0.16666666666666666
7,2,0,16,0.36
1,1,0,7,0.2222222222222222
3,4,0,10,0.4117647058823529
2,0,0,8,0.2
4,2,0,0,1.0
1,2,0,10,0.23076923076923078
