sub,del,ins,hit,wer
2,0,1,4,0.5
0,1,0,16,0.058823529411764705
0,0,0,5,0.0
2,1,0,14,0.17647058823529413
0,0,0,6,0.0
5,4,1,11,0.5
2,2,0,12,0.25
2,1,0,4,0.42857142857142855
2,0,1,8,0.3
0,0,0,7,0.0
3,0,0,11,0.21428571428571427
0,0,0,11,0.0
0,0,0,5,0.0
2,0,0,5,0.2857142857142857
1,0,1,7,0.25
0,1,0,8,0.1111111111111111
0,0,0,2,0.0
1,1,0,3,0.4
3,0,0,5,0.375
2,0,0,4,0.3333333333333333
4,0,2,8,0.5
3,0,1,11,0.2857142857142857
3,0,1,6,0.4444444444444444
2,1,1,8,0.36363636363636365
0,2,2,8,0.4
3,7,1,12,0.5
20,3,9,176,0.16080402010050251
0,0,0,4,0.0
4,0,1,6,0.5
0,2,0,7,0.2222222222222222
9,2,2,71,0.15853658536585366
1,0,0,3,0.25
0,0,0,2,0.0
4,3,0,2,0.7777777777777778
4,1,2,14,0.3684210526315789
0,0,0,3,0.0
0,0,1,42,0.023809523809523808
1,0,1,26,0.07407407407407407
0,0,0,15,0.0
4,1,0,7,0.4166666666666667
2,1,2,12,0.3333333333333333
